C1	34.29	95.57	180.00	22u	PANASONIC_C
C10	41.91	82.55	0.00	100n	C0603
C11	26.99	81.47	90.00	100n	C0603
C12	60.96	78.42	270.00	10u	PANASONIC_A
C13	63.50	77.79	90.00	100n	C0603
C14	4.76	76.52	90.00	2.2n	C0603
C15	12.07	75.88	0.00	100n	C0603
C16	26.99	74.61	90.00	2.2u	C0805
C17	40.96	71.76	270.00	100n	C0603
C18	42.23	71.76	270.00	1u	C0603
C19	4.13	70.48	270.00	100n	C0603
C2	17.46	94.30	90.00	47u	PANASONIC_D
C20	28.89	71.44	270.00	100n	C0603
C21	52.07	70.17	270.00	10u	PANASONIC_A
C22	38.73	69.22	0.00	2.2u	C0805
C23	55.25	68.26	180.00	18p	C0603
C24	64.45	68.26	0.00	18p	C0603
C25	52.39	66.99	0.00	100n	C0603
C26	6.35	64.77	270.00	10n	C0603
C27	39.05	65.41	180.00	100n	C0603
C28	18.73	62.23	180.00	10n	C0603
C29	25.08	62.23	0.00	2.2n	C0603
C3	24.77	94.30	90.00	47u	PANASONIC_D
C30	40.01	60.01	270.00	1u	C0603
C31	41.27	60.01	270.00	100n	C0603
C32	41.59	53.34	90.00	10u	PANASONIC_A
C33	46.04	53.34	90.00	10u	PANASONIC_A
C34	50.48	53.34	90.00	10u	PANASONIC_A
C35	53.02	53.34	270.00	100n	C0603
C36	18.73	51.44	180.00	10n	C0603
C37	21.91	51.44	0.00	100n	C0603
C38	25.08	51.44	0.00	10n	C0603
C39	47.31	46.99	0.00	100n	C0603
C4	30.16	92.71	270.00	18p	C0603
C40	53.66	46.99	90.00	10u	PANASONIC_A
C41	29.21	46.04	90.00	10u	PANASONIC_A
C42	36.83	46.04	90.00	18p	C0603
C43	46.36	44.77	90.00	18p	C0603
C44	61.60	43.50	0.00	100n	C0603
C45	35.88	43.18	0.00	100n	C0603
C46	15.24	29.53	270.00	10u	PANASONIC_A
C47	55.88	29.21	90.00	100n	C0603
C48	12.70	27.30	270.00	100n	C0603
C49	37.78	13.65	180.00	220p	C0603
C5	43.82	92.71	270.00	18p	C0603
C6	10.79	87.31	0.00	100n	C0603
C7	31.43	86.36	180.00	1u	C0603
C8	5.71	84.77	0.00	47u	PANASONIC_D
C9	31.43	85.09	180.00	100n	C0603
D1	19.05	101.28	90.00	1N5819HW	SOD123
D2	39.05	101.28	270.00	1N5819HW	SOD123
D3	27.94	53.02	180.00	BAT54S	SOT23
